Office Notarial;Adresse;Code postal;Ville;Ville d'întérêt;Département;Mail;Notaires Associés;Notaires Salariés;Nb Associés;Nb Salariés;Service Négo
SELARL NOTARY HOME;;35235;THORIGNE FOUILLARD;Non;Ille-et-Vilaine (35);;Me Romain JOUFFREY;Me Camille BRETONNET;1;1;Oui
SAS EFFICIENCE RENNES - Me LE SCOUARNEC;;35235;THORIGNE FOUILLARD;Non;Ille-et-Vilaine (35);;Me Céline LE SCOUARNEC;-;1;0;Non
Me Marie LOISEL;;35235;THORIGNE FOUILLARD;Non;Ille-et-Vilaine (35);;Me Marie LOISEL;-;1;0;Oui
SELARL OFFICE NOTARIAL 1803;;44470;THOUARE SUR LOIRE;Non;Loire-Atlantique (44);;Me Arnaud CAMUS;-;1;0;Non
Me Guillaume de VILLAINES;;44470;THOUARE SUR LOIRE;Non;Loire-Atlantique (44);;Me Guillaume de VILLAINES;-;1;0;Non
SELARL TONQUEZE-TREVILLY NOTAIRE;;35190;TINTENIAC;Non;Ille-et-Vilaine (35);;Me Aurore TONQUEZE;-;1;0;Oui
SELARL NOTAIRES - 22560;;22560;TREBEURDEN;Non;Côtes-d’Armor (22);;Me Lenaïk BLANCHARD-GERARD;-;1;0;Non
SELARL Anne-Cécile JEGOUIC et Sophie USAN-BOREL;;22950;TREGUEUX;Non;Côtes-d’Armor (22);;Me Anne-Cécile JEGOUIC, Me Sophie USAN-BOREL;-;2;0;Oui
SCP Nicolas et Yann GUILLOU;;22220;TREGUIER;Non;Côtes-d’Armor (22);;Me Nicolas GUILLOU, Me Yann GUILLOU;-;2;0;Oui
SELARL NOTAIRE DES TROIS RIVIERES;;22220;TREGUIER;Non;Côtes-d’Armor (22);;Me Géraldine LE GALLOU-GIRAL;-;1;0;Non
SELAS GROUPE MONASSIER OUEST ATLANTIQUE NOTAIRES;;44119;TREILLIERES;Non;Loire-Atlantique (44);;Me Sophie BRANGE, Me Blandine ROUL;-;2;0;Oui
SELAS ESCALE NOTAIRES;;44570;TRIGNAC;Non;Loire-Atlantique (44);;Me Amélie COYAUD;Me Ludovic GASTÉ;1;1;Non
Me Cyrille PÉNARD;;44330;VALLET;Non;Loire-Atlantique (44);;Me Cyrille PÉNARD;-;1;0;Non
SARL AUGU et associés;;56000;VANNES;Oui;Morbihan (56);;Me Damien AUGU, Me Stéphanie BERTOUNESQUE, Me Guillaume CHAUCHAT-ROZIER, Me Sabine VASSE;-;4;0;Oui
SARL Jean-Dominique ROCHE, Charles-Albert GRANDJEAN, Régis LE PORT, Jérôme WATREMEZ et Marie BELLEC;;56000;VANNES;Oui;Morbihan (56);;Me Marie BELLEC, Me Charles-Albert GRANDJEAN, Me Régis LE PORT, Me Jean-Dominique ROCHE, Me Jérôme WATREMEZ;Me Maxime DERRIEN, Me Kyomi IANORA;5;2;Oui
Me Charlotte WAUTIER;;56000;VANNES;Oui;Morbihan (56);;Me Charlotte WAUTIER;-;1;0;Oui
SARL BOUTEILLER et ASSOCIES;;56000;VANNES;Oui;Morbihan (56);;Me Pierre-Yves BOUTIN, Me Xavier CHABRAN, Me Caroline PERRIN;Me Joseph de GOURCY;3;1;Oui
SAS EFFICIENCE MORBIHAN;;56000;VANNES;Oui;Morbihan (56);;Me Marie-Christine NAYL-DELATTRE;-;1;0;Oui
JM.HENAFF E.MORVAN M.MEHEUST, NOTAIRES DU GOLFE;;56000;VANNES;Oui;Morbihan (56);;Me Jean Mériadec HENAFF, Me Marie MEHEUST, Me Elodie MORVAN;-;3;0;Oui
Me Laurent KERMAGORET;;56000;VANNES;Oui;Morbihan (56);;Me Laurent KERMAGORET;-;1;0;Oui
SELARL Julien LE HÉNAFF;;56000;VANNES;Oui;Morbihan (56);;Me Julien LE HÉNAFF;-;1;0;Non
SELARL Emmanuel BÉNÉAT Notaire et associés;;56039;VANNES;Oui;Morbihan (56);;Me Emmanuel BENEAT, Me Marie BÉNÉAT;-;2;0;Oui
SARL BOUTEILLER et ASSOCIES;;56004;VANNES;Oui;Morbihan (56);;Me Charlotte BAUMARD, Me Antoine HERCÉ, Me Grégoire LEVESQUE;Me Audrey NÉNERT;3;1;Oui
SCP DEJOIE FAY GICQUEL LE MASSON;;44120;VERTOU;Oui;Loire-Atlantique (44);;Me Fiona LE MASSON;Me Isabelle PARAGOT;1;1;Non
SCP Arnaud AUDRAIN, Olivier CAPELLE, Marie DENIS-NOUJAIM et François CÉRÈS;;44122;VERTOU;Oui;Loire-Atlantique (44);;Me Arnaud AUDRAIN, Me François CÉRÈS, Me Marie DENIS-NOUJAIM, Me Olivier CAPELLE;Me Victoire DESVERONNIÈRES;4;1;Oui
SCP DEJOIE FAY GICQUEL LE MASSON;;44122;VERTOU;Oui;Loire-Atlantique (44);;Me Louis DEJOIE, Me Pierre-Frédéric FAY, Me Vincent GICQUEL;Me Sandrine CADORET, Me Virginie GUILLOTEAU, Me Matthieu KORCHEF, Me Claudine MARTIN;3;4;Oui
Office de Me Marc SAVEY;;35132;VEZIN LE COQUET;Non;Ille-et-Vilaine (35);;Me Marc SAVEY;-;1;0;Non
SELAS Ronan CALVEZ;;44116;VIEILLEVIGNE;Non;Loire-Atlantique (44);;Me Ronan CALVEZ;-;1;0;Oui
SCP Anne GUEDÉ et Anne MOAT-POTET;;44360;VIGNEUX DE BRETAGNE;Non;Loire-Atlantique (44);;Me Anne GUEDÉ, Me Anne MOAT-POTET;-;2;0;Oui
Me Béatrice BODIN;;35500;VITRE;Non;Ille-et-Vilaine (35);;Me Béatrice BODIN;-;1;0;Non
Me Annabelle GENNOT-CAILLE;;35500;VITRE;Non;Ille-et-Vilaine (35);;Me Annabelle GENNOT-CAILLE;-;1;0;Oui
SAS OUAIRY ET DE GIGOU;;35503;VITRE;Non;Ille-et-Vilaine (35);;Me Cédric DE GIGOU, Me Philippe OUAIRY;Me Urielle DAVY, Me Paul-Henri MONVOISIN, Me Sandrine VEYRIER;2;3;Oui
SARL NOTAIRES OFFICE - Me Dominique CHAUDET;;35502;VITRE;Non;Ille-et-Vilaine (35);;Me Dominique CHAUDET;-;1;0;Oui
SELARL KCP NOTAIRES;;35503;VITRE;Non;Ille-et-Vilaine (35);;Me Karine COUDRAIS-PATROM;-;1;0;Oui
SAS 1270 NOTAIRES;;22120;YFFINIAC;Non;Côtes-d’Armor (22);;Me Nicolas ROBERT;-;1;0;Non
Me Patrick LE PERSON;;22120;YFFINIAC;Non;Côtes-d’Armor (22);;Me Patrick LE PERSON;-;1;0;Oui
SAS NOTAIRES DE LA BAIE;;22120;YFFINIAC;Non;Côtes-d’Armor (22);;Me Tony LEFOL;-;1;0;Non
SELARL ACT é CONSEIL;;49080;BOUCHEMAINE;Non;Maine-et-Loire (49);;Me Geoffrey VINCENT;-;1;0;Non
SELARL ACT é CONSEIL;;49130;LES PONTS DE CE;Non;Maine-et-Loire (49);;Me Frédéric GUEGUEN;Me Sabine SALVETAS-MOREAU;1;1;Oui
SELARL ACT é CONSEIL Adrien LABBE et Marion DURAND;;49024;ANGERS;Oui;Maine-et-Loire (49);;Me Marion DURAND, Me Adrien LABBÉ;Me Paul DE SAINT SAUVEUR, Me Sophie GUINET, Me Emilie JOURNAULT, Me Lauraline TOURET;2;4;Oui
SARL ACTAÉ NOTAIRES;;49230;MONTFAUCON MONTIGNE;Non;Maine-et-Loire (49);;Me Louise-Marie BOUYER, Me Patrick JUGAN, Me Cédric LUQUIAU;-;3;0;Oui
SELARL ANJOU BLEU NOTAIRES;;49500;SEGRE EN ANJOU BLEU;Non;Maine-et-Loire (49);;Me Emilie BEUNARDEAU, Me Catherine JUTON-PILON;Me Séverine NAUDIN;2;1;Oui
NOT'ANJOU CONSEIL;;49330;CHATEAUNEUF SUR SARTHE;Non;Maine-et-Loire (49);;Me Manuel SIMONET;Me Christelle BARILLÉ;1;1;Oui
ANJOU LOIRE NOTAIRES - Me Matthieu COURTOIS;;49125;TIERCE;Non;Maine-et-Loire (49);;Me Emmanuel BOUVIER, Me Matthieu COURTOIS;Me Amélie HERVO, Me Christophe PINEAU, Me Stéphanie RIOT-RIVEREAU;2;3;Oui
Me Laëtitia ANNETTE;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Laëtitia ANNETTE;-;1;0;Non
SAS Anne-Claude BAVIÈRE;;49150;BAUGE EN ANJOU;Non;Maine-et-Loire (49);;Me Anne-Claude BAVIÈRE;-;1;0;Oui
SELARL BDM NOTAIRES;;49390;VERNOIL LE FOURRIER;Non;Maine-et-Loire (49);;Me Sophie BOUIS-DEQUIDT, Me Olivier MICHELOT;-;2;0;Oui
SELARL OFFICE NOTARIAL DE MÛRS-ERIGNÉ;;49130;MURS ERIGNE;Non;Maine-et-Loire (49);;Me Frédérique BOULET;-;1;0;Non
Me Roxane BOURDELOUX;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me Roxane BOURDELOUX;-;1;0;Non
SCP Eric BRECHETEAU et Nathalie DAILLOUX-BEUCHET;;49008;ANGERS CEDEX 01;Non;Maine-et-Loire (49);;Me Eric BRECHETEAU, Me Nathalie DAILLOUX-BEUCHET;-;2;0;Oui
Me Laurence BRETIN;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Laurence BRETIN;-;1;0;Oui
Me Elisabeth BRÉHÉLIN;;49440;CANDE;Non;Maine-et-Loire (49);;Me Elisabeth BRÉHÉLIN;Me Benjamin MARCHAND;1;1;Oui
ANJOU LOIRE NOTAIRES - Mes CESBRON, FALLOURD et TREFFOT;;49240;AVRILLE;Non;Maine-et-Loire (49);;Me Matthieu CESBRON, Me Guillaume FALLOURD, Me Marie-Lore TREFFOT;Me Rachel PELFRESNE;3;1;Oui
CONSEIL ANJOU PATRIMOINE NOTAIRES;;49440;CANDE;Non;Maine-et-Loire (49);;Me Mathilde EMERIAU;-;1;0;Non
CONSEIL ANJOU PATRIMOINE NOTAIRES;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me Romain GIRAUDEAU;-;1;0;Oui
CONSEIL ANJOU PATRIMOINE NOTAIRES;;49370;VAL D'ERDRE AUXENCE;Non;Maine-et-Loire (49);;Me Jean-Christophe BOUWYN;Me Cynthia LUSTEAU, Me Paul-Hervé PAILLÉ;1;2;Oui
SELARL OFFICE NOTARIAL Julien CONTANT;;49250;ST MATHURIN SUR LOIRE;Non;Maine-et-Loire (49);;Me Julien CONTANT;-;1;0;Oui
SELARL Marie COURSOLLE et Bernard MOUTEL;;49270;CHAMPTOCEAUX;Non;Maine-et-Loire (49);;Me Marie COURSOLLE, Me Bernard MOUTEL;Me Laëtitia GOURIVAUD;2;1;Oui
SELARL Thomas DAUVER et Stéphanie JOUAND-PUCELLE;;49350;GENNES VAL DE LOIRE;Non;Maine-et-Loire (49);;Me Thomas DAUVER, Me Stéphanie JOUAND-PUCELLE;Me Chloé AYDEMIR;2;1;Oui
Me Aurélie DEGILA;;49460;MONTREUIL JUIGNE;Non;Maine-et-Loire (49);;Me Aurélie DEGILA;-;1;0;Non
Me Jérôme DEREDEC;;49070;BEAUCOUZE;Non;Maine-et-Loire (49);;Me Jérôme DEREDEC;-;1;0;Oui
SELARL DCB NOTAIRES ASSOCIES;;49003;ANGERS CEDEX 1;Non;Maine-et-Loire (49);;Me Laurence CHAUVEAU, Me Sophie DAVY, Me Antoine DESVAUX;-;3;0;Oui
Me Cécilia DROGOU;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me Cécilia DROGOU;-;1;0;Non
SAS DU CONSEIL A L'ACTE;;49120;CHEMILLE EN ANJOU;Non;Maine-et-Loire (49);;Me Alexandra LANGLOIS;-;1;0;Non
SAS DU CONSEIL A L'ACTE;;49300;CHOLET;Non;Maine-et-Loire (49);;Me Sarah MARTIN;-;1;0;Non
SARL ONE - OFFICE NOTARIAL d'ECOUFLANT;;49000;ECOUFLANT;Non;Maine-et-Loire (49);;Me Frédérique HAY-THILLIER;-;1;0;Non
SELAS EGIDE NOTAIRES;;49700;DOUE EN ANJOU;Non;Maine-et-Loire (49);;Me Laure DOUMANDJI, Me Guillaume FRABOULET, Me Emmanuelle JAMMES;Me Eglantine FOREST;3;1;Oui
SELAS EGIDE NOTAIRES;;49380;BELLEVIGNE EN LAYON;Non;Maine-et-Loire (49);;Me Stéphane BAZIN;-;1;0;Non
SAS FAMILIA NOTAIRES CONSEILS;;49290;CHALONNES SUR LOIRE;Non;Maine-et-Loire (49);;Me Simon LEBLANC-PAPOUIN;Me Marine BONNUIT;1;1;Oui
Me Sylvie FICHET;;49490;NOYANT;Non;Maine-et-Loire (49);;Me Sylvie FICHET;-;1;0;Non
SELAS NEOLIA NOTAIRES;;49301;CHOLET CEDEX;Non;Maine-et-Loire (49);;Me Antoine BARANGER, Me Anne-Hélène BIOTTEAU, Me Stéphane FRAPPIER, Me Nicolas TEXEREAU;Me Charlotte BEBIEN, Me Mélanie CAILTON-TARIMY, Me Maëlle FARDIN, Me Sophie JEANNEAU, Me Elisabeth TESSIER;4;5;Oui
SELARL GAYA;;49260;BREZE;Non;Maine-et-Loire (49);;Me Maud DALLAY;-;1;0;Oui
SELARL OFFICE NOTARIAL GILLOURY;;49630;CORNE;Non;Maine-et-Loire (49);;Me François GILLOURY;-;1;0;Oui
Me Jean-François GIRARD;;49600;BEAUPREAU EN MAUGES;Non;Maine-et-Loire (49);;Me Jean-François GIRARD;-;1;0;Oui
SELAS GM CHOLET NOTAIRES;;49300;CHOLET;Non;Maine-et-Loire (49);;Me Olivier BIOTTEAU, Me Bernard DELORME, Me Thierry POUVREAU, Me Flore VRIGNAUD;Me Eric BELLIER;4;1;Oui
Mes Emmanuelle GOURET-DUCHENE et François GOURET;;49150;BAUGE EN ANJOU;Non;Maine-et-Loire (49);;Me François GOURET, Me Emmanuelle GOURET-DUCHENE;-;2;0;Oui
SAS LA MAISON DU CONSEIL;;49023;ANGERS CEDEX 2;Non;Maine-et-Loire (49);;Me David BIORET, Me Christophe GRASTEAU, Me Raphaël LE COQ;-;3;0;Oui
SELARL Anne-Laure GROSGEORGE Notaire;;49420;OMBREE D'ANJOU;Non;Maine-et-Loire (49);;Me Anne-Laure GROSGEORGE;-;1;0;Oui
Me Justine GROSJEAN;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Justine GROSJEAN;-;1;0;Non
ANJOU LOIRE NOTAIRES - Me Thierry PARCÉ;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Thierry PARCÉ;-;1;0;Oui
Me Sodari GUERRIER;;49400;SAUMUR;Non;Maine-et-Loire (49);;Me Sodari GUERRIER;-;1;0;Oui
SELARL ACCÈS NOTAIRES;;49124;ST BARTHELEMY D'ANJOU;Non;Maine-et-Loire (49);;Me Marion GUINE;-;1;0;Non
SELARL HT&O NOTAIRES ET CONSEILS;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Thierry HAYÉ-TEXIER, Me Franz OTTE;-;2;0;Oui
Me Caroline HERILLARD-AMELINE;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me Caroline HERILLARD-AMELINE;-;1;0;Non
Me Pierre-Yves JAMES;;49100;ANGERS;Oui;Maine-et-Loire (49);;Me Pierre-Yves JAMES;-;1;0;Non
SARL JUBERT & PALOMBA ASSOCIES;;49260;MONTREUIL BELLAY;Non;Maine-et-Loire (49);;Me Victor JUBERT;Me Bénédicte DE LA PORTE DU THEIL;1;1;Non
SARL JUBERT & PALOMBA ASSOCIÉS, CHERBONNEAU-PALOMBA;;49160;LONGUÉ JUMELLES;Non;Maine-et-Loire (49);;Me Maud CHERBONNEAU-PALOMBA;Me Charlotte DUCHÊNE;1;1;Non
Me Monia KERHARO;;49140;SEICHES SUR LE LOIR;Non;Maine-et-Loire (49);;Me Monia KERHARO;-;1;0;Oui
SELARL LAROCHE GIRAULT ET ASSOCIÉS;;49007;ANGERS CEDEX;Non;Maine-et-Loire (49);;Me Stéphanie GIRAULT, Me Franck LAROCHE, Me Claire LE MAT, Me Tomas MARQUIS, Me David MEUNIER;Me Mathilde GIET, Me Quentin GILBERT, Me Alix MAILLET;5;3;Oui
Me Loïc LESIMPLE;;49104;ANGERS CEDEX 2;Non;Maine-et-Loire (49);;Me Loïc LESIMPLE;-;1;0;Non
Maître Stéphanie MALINEAU - Maître Celine MONTANIER - Maître Aurélie AUBAILLY;;49415;SAUMUR CEDEX;Non;Maine-et-Loire (49);;Me Aurélie AUBAILLY, Me Stéphanie MALINEAU, Me Céline MONTANIER;-;3;0;Oui
SAS Sandrine MARADAN;;49430;DURTAL;Non;Maine-et-Loire (49);;Me Sandrine MARADAN;-;1;0;Oui
SELARL MARRONNEAU ET NIGNOL, NOTAIRES ASSOCIES;;49190;ROCHEFORT SUR LOIRE;Non;Maine-et-Loire (49);;Me Sophie MARRONNEAU, Me Hélène NIGNOL;-;2;0;Oui
SELARL Sophie MASSE - Mélanie MERAND, notaires;;49110;MONTREVAULT SUR EVRE;Non;Maine-et-Loire (49);;Me Sophie MASSÉ, Me Mélanie MÉRAND;-;2;0;Non
SELAS OFFICE NOTARIAL DE CHEMILLE;;49120;CHEMILLE EN ANJOU;Non;Maine-et-Loire (49);;Me Delphine BETHOUART, Me Aurélie MOREAU, Me Jean PIROTAIS;-;3;0;Oui
SELASU OFFICE NOTARIAL DU PAYS DES MAUGES-CENTRE OUEST;;49110;MONTREVAULT;Non;Maine-et-Loire (49);;Me Jérôme BELLÈVRE;-;1;0;Non
Me Bertrand MAUPETIT;;49320;BRISSAC QUINCE;Non;Maine-et-Loire (49);;Me Bertrand MAUPETIT;Me Camille SERREAU;1;1;Non
SELARL Nicolas MELON;;49052;ANGERS;Oui;Maine-et-Loire (49);;Me Nicolas MELON;Me Claire GELABERT;1;1;Oui
SARL Antoine MIGOT, Nicolas DUPONT et Vincent VAN RYSSELBERGHE;;49220;LE LION D'ANGERS;Non;Maine-et-Loire (49);;Me Nicolas DUPONT, Me Antoine MIGOT;-;2;0;Oui
SELARL Isabelle MÉTAIS;;49250;BEAUFORT EN VALLEE;Non;Maine-et-Loire (49);;Me Isabelle MÉTAIS;-;1;0;Oui
SELARL NAXSO;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me Sophie BOUET-POUPARD, Me Alexandre NAVAUD;Me Caroline CONCHARD-MARTIN;2;1;Non
SELARL NJL NOTAIRES ASSOCIES;;49051;ANGERS CEDEX 2;Non;Maine-et-Loire (49);;Me Emilie JOUET, Me Emmanuel LE FLOCH, Me Nicolas NOMBLOT;Me Isabelle SOUEF-MARCHAL, Me Anne-Frédérique ARTIGUE;3;2;Oui
SELARL NOT'1PACT;;49051;ANGERS CEDEX 2;Non;Maine-et-Loire (49);;Me Julie LAMBERT, Me Aurélien BEAUPERE, Me Denis PITHON;Me Lolita LANDREAU;3;1;Oui
Me Jessica PAILLARD;;49480;VERRIERES EN ANJOU;Non;Maine-et-Loire (49);;Me Jessica PAILLARD;-;1;0;Non
Me Dominique PASQUALINI;;49690;CORON;Non;Maine-et-Loire (49);;Me Dominique PASQUALINI;-;1;0;Non
SELARL LHL NOTAIRES;;49310;LYS HAUT LAYON;Non;Maine-et-Loire (49);;Me Antoine PINEAU;Me Fabrice TERRIEN;1;1;Non
SARL OFFICE NOTARIAL DU RALLIEMENT;;49021;ANGERS CEDEX 02;Non;Maine-et-Loire (49);;Me Christophe DUCHENE, Me Jean-Philippe REDIG, Me Henri VANDEVOORDE;Me Jérémy COLINEAU, Me Vincent FOUCHER, Me Montaine OGER;3;3;Oui
Me Mathieu ROUBERT;;49300;CHOLET;Non;Maine-et-Loire (49);;Me Mathieu ROUBERT;-;1;0;Non
SARL Christophe ROY, Vincent DELAFOND et Guislaine BELLION-LOUBOUTIN;;49800;TRELAZE;Non;Maine-et-Loire (49);;Me Guislaine BELLION-LOUBOUTIN, Me Vincent DELAFOND, Me Christophe ROY;Me Arnaud RICORDEL;3;1;Oui
SCP NEOLIA NOTAIRES;;49610;LES GARENNES SUR LOIRE;Non;Maine-et-Loire (49);;Me Arnaud SALVETAT;Me Jessica BOUVIER, Me Nadège HERBRETEAU;1;2;Non
Maître Manuella SAMSON;;49300;CHOLET;Non;Maine-et-Loire (49);;Me Manuella SAMSON;-;1;0;Oui
Me François SAULNIER;;49000;ANGERS;Oui;Maine-et-Loire (49);;Me François SAULNIER;-;1;0;Non
SCP Hyacinthe SIMON et Billy POUPELIN;;49450;ST MACAIRE EN MAUGES;Non;Maine-et-Loire (49);;Me Billy POUPELIN, Me Hyacinthe SIMON;Me Caroline GIRARD;2;1;Non
SELARL ORIENTA;;49410;LE MESNIL EN VALLEE;Non;Maine-et-Loire (49);;Me Marlène THEBAULT, Me Jean-Louis VERONNEAU;-;2;0;Oui
SELARL THOUARY NOTAIRES;;49415;SAUMUR CEDEX;Non;Maine-et-Loire (49);;Me René-Marc THOUARY, Me Claude-Elise THOUARY-SABOURAULT;-;2;0;Oui
SARL Antoine MIGOT, Nicolas DUPONT et Vincent VAN RYSSELBERGHE;;49500;SEGRE EN ANJOU BLEU;Non;Maine-et-Loire (49);;Me Vincent VAN RYSSELBERGHE;-;1;0;Non
SELARL Frédéric VARIN et Claudia VARIN;;49400;DISTRE;Non;Maine-et-Loire (49);;Me Frédéric VARIN, Me Claudia VARIN;-;2;0;Oui
SARL OFFICE NOTARIAL ZENNER;;49680;VIVY;Non;Maine-et-Loire (49);;Me Véronique ZENNER;-;1;0;Oui
Me Marc-Alexandre de MORAIS;;49300;CHOLET;Non;Maine-et-Loire (49);;Me Marc-Alexandre de MORAIS;Me Déborah GUITTON;1;1;Oui
SELARL ÔTENTIK Notaires et Associés;;49600;BEAUPREAU EN MAUGES;Non;Maine-et-Loire (49);;Me Cyrille CHEVALLIER, Me Alan LE CAM;Me Mathilde JANVRESSE;2;1;Oui